Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
Trick,Psychic,Status,Swaps held items with the opponent.,-,100,10,,-,3
Trick Room,Psychic,Status,Slower Pokémon move first in the turn for 5 turns.,-,-,5,TM92,-,4
Trick-or-Treat,Ghost,Status,Adds Ghost type to opponent.,-,100,20,,-,6
Triple Kick,Fighting,Physical,Hits thrice in one turn at increasing power.,10,90,10,,-,2
Trop Kick,Grass,Physical,Lowers opponent's Attack.,70,100,15,,,7
Trump Card,Normal,Special,"The lower the PP, the higher the power.",-,∞,5,,-,4
Twineedle,Bug,Physical,Hits twice in one turn. May poison opponent.,25,100,20,,20,1
Twinkle Tackle,Fairy,Z-Move,Fairy type Z-Move.,-,-,1,,,7
Twister,Dragon,Special,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,40,100,20,,20,2
Uproar,Normal,Special,User attacks for 3 turns and prevents sleep.,90,100,10,,-,3
U-turn,Bug,Physical,User switches out immediately after attacking.,70,100,20,TM89,-,4
Vacuum Wave,Fighting,Status,User attacks first.,40,100,30,,-,4
V-create,Fire,Physical,"Lowers user's Defense, Special Defense and Speed.",180,95,5,,100,5
Veevee Volley,Normal,Physical,Power increases when player's bond is stronger.,-,∞,20,,,7
Venom Drench,Poison,Status,Lowers poisoned opponent's Special Attack and Speed.,-,100,20,,-,6
Venoshock,Poison,Special,Inflicts double damage if the target is poisoned.,65,100,10,TM09,-,5
Vice Grip,Normal,Physical,,55,100,30,,-,1
Vine Whip,Grass,Physical,,45,100,25,,-,1
Vital Throw,Fighting,Physical,"User attacks last, but ignores Accuracy and Evasiveness.",70,∞,10,,-,2
Volt Switch,Electric,Special,User must switch out after attacking.,70,100,20,TM72,-,5
Volt Tackle,Electric,Physical,User receives recoil damage. May paralyze opponent.,120,100,15,,10,3
Wake-Up Slap,Fighting,Physical,"Power doubles if opponent is asleep, but wakes it up.",70,100,10,,-,4
Water Gun,Water,Special,,40,100,25,,-,1
Water Pledge,Water,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,80,100,10,,-,5
Water Pulse,Water,Special,May confuse opponent.,60,100,20,,20,3
Water Shuriken,Water,Special,Hits 2-5 times in one turn.,15,100,20,,-,6
Water Sport,Water,Status,Weakens the power of Fire-type moves.,-,-,15,,-,3
Water Spout,Water,Special,"The higher the user's HP, the higher the damage caused.",150,100,5,,-,3
Waterfall,Water,Physical,May cause flinching.,80,100,15,TM98,20,1
Weather Ball,Normal,Special,Move's power and type changes with the weather.,50,100,10,,-,3
Whirlpool,Water,Special,"Traps opponent, damaging them for 4-5 turns.",35,85,15,,-,2
Whirlwind,Normal,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",-,-,20,,-,1
Wide Guard,Rock,Status,Protects the user's team from multi-target attacks.,-,-,10,,-,5
Wild Charge,Electric,Physical,User receives recoil damage.,90,100,15,TM93,-,5
Will-O-Wisp,Fire,Status,Burns opponent.,-,85,15,TM61,100,3
Wing Attack,Flying,Physical,,60,100,35,,-,1
Wish,Normal,Status,The user recovers HP in the following turn.,-,-,10,,-,3
Withdraw,Water,Status,Raises user's Defense.,-,-,40,,-,1
Wonder Room,Psychic,Physical,Swaps every Pokémon's Defense and Special Defense for 5 turns.,-,-,10,,-,5
Wood Hammer,Grass,Status,User receives recoil damage.,120,100,15,,-,4
Work Up,Normal,Status,Raises user's Attack and Special Attack.,-,-,30,TM01,-,5
Worry Seed,Grass,Status,Changes the opponent's Ability to Insomnia.,-,100,10,,-,4
Wrap,Normal,Physical,"Traps opponent, damaging them for 4-5 turns.",15,90,20,,-,1
Wring Out,Normal,Special,"The higher the opponent's HP, the higher the damage.",-,100,5,,-,4
X-Scissor,Bug,Physical,,80,100,15,TM81,-,4
Yawn,Normal,Status,Puts opponent to sleep in the next turn.,-,-,10,,-,3
Zap Cannon,Electric,Special,Paralyzes opponent.,120,50,5,,100,2
Zen Headbutt,Psychic,Physical,May cause flinching.,80,90,15,,20,4
Zing Zap,Electric,Physical,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",80,100,10,,,7
Zippy Zap,Electric,Physical,High critical-hit ratio.,50,100,15,,,7
