Name,Money,Route,Location on Route,Pokemon,Level,Attack 1,Attack 2,Attack 3,Attack 4,EXP,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed
[2],,,,Slaking,32,Focus Punch,Yawn,Slack Off,Faint Attack,1440,138,96,69,65,46,75
Pokemon  Breeder Pat [2],1000,Route 121,,Poochyena,25,Bite,Odor Sleuth,Roar,Swagger,294,52,32,19,20,22,22
[2],,,,Shroomish,25,Stun Spore,Leech Seed,Mega Drain,Headbutt,348,65,27,35,25,31,22
[2],,,,Electrike,25,Howl,Quick Attack,Spark,Odor Sleuth,556,55,27,22,37,27,37
Pokemon  Breeder Myles [2],1000,Route 121,,Makuhita,25,Arm Thrust,Vital Throw,Fake Out,Whirlwind,466,71,35,20,16,20,15
[2],,,,Wingull,25,Water Gun,Supersonic,Wing Attack,Mist,342,55,20,18,35,20,47
[2],,,,Tropius,25,Growth,Razor Leaf,Stomp,Sweet Scent,904,84,35,46,41,48,33
Gentlman Walter,2320,Route 121,,Manectric,29,Howl,Quick Attack,Spark,Odor Sleuth,1044,79,48,35,71,39,65
Pokefan Vanessa,2400,Route 121,,Pikachu,30,Quick Attack,Double Team,Slam,Thunderbolt,527,61,38,23,38,26,59
Cooltrainer Marcel [2],1392,Route 121,,Manectric,29,Howl,Quick Attack,Spark,Odor Sleuth,1044,83,56,43,69,38,69
[2],,,,Shiftry,29,Pound,Harden,Growth,Nature Power,1124,94,72,43,60,38,54
Cooltrainer Cristin [2],1392,Route 121,,Loudred,29,Astonish,Howl,Supersonic,Stomp,782,91,44,33,49,36,36
[2],,,,Vigoroth,29,Encore,Uproar,Fury Swipes,Endure,782,88,54,48,40,44,60
PokeManiac Mark,1860,Mt.Pyre,2F,Rhyhorn,31,Stomp,Fury Attack,Scary Face,Rock Blast,896,90,57,63,23,23,20
Hex Maniac Leah [2],744,Mt.Pyre,2F,Spoink,31,Psybeam,Psych Up,Confuse Ray,Magic Coat,590,78,18,26,52,54,42
Black Belt Zander [2],992,Mt.Pyre,2F,Hariyama,31,Vital Throw,Fake Out,Whirlwind,Knock Off,1222,130,79,42,29,42,36
Young Couple Dez & Luke [2],1984,Mt.Pyre,2F,Delcatty,31,Growl,Attract,Sing,Doubleslap,916,84,45,49,39,39,43
[2],,,,Manectric,31,Quick Attack,Spark,Odor Sleuth,Roar,1116,84,56,42,63,42,70
Psychic Kayla [2],624,Mt.Pyre,3F,Wobbuffet,26,Counter,Mirror Coat,Safeguard,Destiny Bond,986,134,22,35,24,31,22
[2],,,,Natu,26,Peck,Leer,Night Shade,Teleport,406,56,31,28,41,28,41
[2],,,,Kadabra,26,Disable,Psybeam,Reflect,Recover,806,56,23,20,73,36,59
Pokemon Breeder Gabrielle [2],1040,Mt.Pyre,3F,Skitty,26,Sing,Doubleslap,Assist,Charm,362,62,25,28,23,23,34
[2],,,,Poochyena,26,Bite,Odor Sleuth,Roar,Swagger,306,54,33,20,20,20,25
[2],,,,Zigzagoon,26,Sand-Attack,Odor Sleuth,Mud Sport,Pin Missile,334,55,18,26,20,28,36
Psychic William,624,Mt.Pyre,3F,Ralts,26,Double Team,Teleport,Calm Mind,Psychic,390,50,18,18,28,25,22
,,,,Ralts,26,Double Team,Teleport,Calm Mind,Psychic,390,50,18,19,25,23,25
,,,,Kirlia,26,Double Team,Teleport,Calm Mind,Psychic,780,55,23,23,38,33,31
Hex Maniac Tasha,768,Mt.Pyre,4F,Shuppet,32,Night Shade,Curse,Spite,Will-O-Wisp,665,72,54,26,47,28,38
Black Belt Atsushi,1024,Mt.Pyre,5F,Hariyama,32,Vital Throw,Fake Out,Whirlwind,Knock Off,1261,138,85,47,34,42,44
Hex Maniac Valerie [2],768,Mt.Pyre,6F,Sableye,32,Fury Swipes,Fake Out,Detect,Faint Attack,672,74,47,53,50,46,37
Psychic Cedric [2],768,Mt.Pyre,6F,Wobbuffet,32,Destiny Bond,Safeguard,Mirror Coat,Counter,1212,163,28,42,23,42,26
Team Aqua Grunt,640,Mt.Pyre,Outside,Carvanha,32,Scary Face,Crunch,Screech,Take Down,603,70,62,18,46,17,41
Team Aqua Grunt,640,Mt.Pyre,Outside,Zubat,32,Bite,Wing Attack,Confuse Ray,Air Cutter,370,67,33,24,24,33,40
Team Aqua Grunt [2],600,Mt.Pyre,Outside,Poochyena,30,Odor Sleuth,Roar,Swagger,Scary Face,352,61,41,26,23,23,23
[2],,,,Carvanha,30,Focus Energy,Scary Face,Crunch,Screech,564,67,59,17,39,18,44
Team Aqua Grunt [2],600,Mt.Pyre,Outside,Wailmer,30,Rollout,Whirlwind,Astonish,Water Pulse,880,118,51,26,42,26,41
[2],,,,Zubat,30,Astonish,Bite,Wing Attack,Confuse Ray,346,64,32,26,20,29,41
Psychic Cameron,744,Route 123,Cut,Solrock,31,Rock Throw,Fire Spin,Psywave,Cosmic Power,996,84,63,62,39,45,43
Ninja Boy Jonas [2],372,Route 123,,Koffing,31,Toxic,Thunder,Selfdestruct,Sludge Bomb,756,65,40,63,46,32,26
Parasol Lady Kayley [2],1240,Route 123,,Castform,31,Sunny Day,Weather Ball,Flamethrower,Solarbeam,962,84,48,48,43,48,53
Hex Maniac Kindra [2],720,Route 123,,Duskull,30,Foresight,Astonish,Confuse Ray,Pursuit,622,52,26,59,23,64,20
[2],,,,Shuppet,30,Screech,Night Shade,Curse,Spite,622,66,50,26,42,24,32
Collector Ed [2],1800,Route 123,,Zangoose,30,Swords Dance,Fury Cutter,Slash,Pursuit,1060,83,74,41,41,41,59
[2],,,,Seviper,30,Poison Tail,Screech,Glare,Crunch,1060,83,65,41,65,41,44
Cooltrainer Wendy,1392,Route 123,Grass,Mawile,29,Baton Pass,Faint Attack,Fake Tears,Bite,609,71,57,57,40,40,37
,,,,Roselia,29,Mega Drain,Magical Leaf,Grasswhistle,Leech Seed,944,71,43,34,72,54,41
,,,Hop Down ONCE,Pelipper,29,Fly,Water Gun,Mist,Protect,1019,77,37,72,51,49,46
Cooltrainer Braxton ,1344,Route 123,Grass,Swellow,28,Focus Energy,Quick Attack,Wing Attack,Endeavour,972,74,60,41,32,36,78
,,,,Trapinch,28,Bite,Dig,Faint Attack,Sand Tomb,438,66,64,29,36,33,13
,,,,Wailmer,28,Rollout,Whirlpool,Astonish,Water Pulse,822,114,42,27,51,27,41
,,,,Magneton,28,Thunderbolt,Supersonic,Thunder Wave,Sonicboom,966,69,45,61,67,47,47
,,,Hop Down ONCE,Shiftry,28,Giga Drain,Faint Attack,Double Team,Swagger,1086,91,64,36,58,45,53
Guitarist Fernando [2],960,Route 123,,Electrike,30,Quick Attack,Spark,Odor Sleuth,Roar,668,64,32,29,39,31,44
[2],,,,Loudred,30,Astonish,Howl,Supersonic,Stomp,810,90,47,30,47,30,33
Bird Keeper Alberto [2],960,Route 123,,Pelipper,30,Wing Attack,Supersonic,Mist,Protect,1054,76,35,58,56,51,44
[2],,,,Xatu,30,Peck,Leer,Night Shade,Teleport,1098,79,50,47,62,47,62
Psychic Jacki [2],720,Route 123,Stay Low,Kadabra,30,Psybeam,Reflect,Recover,Future Sight,932,64,26,23,84,42,68
[2],,,,Lunatone,30,Confusion,Rock Throw,Hypnosis,Psywave,964,82,38,44,62,56,47
Expert Fredrick [2],1200,Route 123,,Makuhita,30,Vital Throw,Fake Out,Whirlwind,Knock Off,558,86,39,26,22,26,23
[2],,,,Machoke,30,Karate Chop,Seismic Toss,Foresight,Revenge,938,91,61,50,38,44,38
Twins Miu&Yuki [2],624,Route 123,,Beautifly,26,Gust,Stun Spore,Morning Sun,Mega Drain,896,67,41,31,51,27,41
[2],,,,Dustox,26,Gust,Protect,Moonlight,Psybeam,890,67,31,41,31,45,41
Aroma Lady Violet,1040,Route 123,,Roselia,26,Stun Spore,Mega Drain,Leech Seed,Magical Leaf,846,62,36,28,57,46,38
,,,,Gloom,26,Poisonpowder,Stun Spore,Sleep Powder,Acid,735,67,38,36,49,48,25
Bug Catcher Davis [2],432,Route 123,,Pinsir,27,Bind,Seismic Toss,Harden,Revenge,1156,72,79,59,34,42,45
Cooltrainer Jazmyn [2],540,Route 123,,Absol,27,Quick Attack,Razor WInd,Bite,Swords Dance,1006,72,75,37,45,37,45
Beauty Shirley,1680,Mt. Chimney,Post-Team Magma,Numel,21,Growl,Tackle,Ember,Magnitude,396,56,33,21,28,23,19
Beauty Sheila,1680,Mt. Chimney,Post-Team Magma,Shroomish,21,Tackle,Stun Spore,Leech Seed,Mega Drain,292,56,23,30,18,30,19
Expert Shelby,840,Mt. Chimney,Post-Team Magma,Meditite,21,Meditate,Confusion,Detect,Hidden Power,409,48,23,36,26,33,35
,,,,Makuhita,21,Sand-Attack,Arm Thrust,Vital Throw,Fake Out,391,66,35,24,18,19,20
Hiker Sawyer [2],840,Mt. Chimney,Post-Team Magma,Geodude,21,Mud Sport,Rock Throw,Magnitude,Selfdestruct,386,47,38,47,17,17,13
Beauty Melissa [2],840,Mt. Chimney,Post-Team Magma,Marill,21,Tail Whip,Water Gun,Rollout,BubbleBeam,260,60,13,23,13,26,23
Team Magma Grunt,580,Magma Hideout,1F,Poochyena,29,Odor Sleuth,Roar,Swagger,Scary Face,341,59,39,25,22,22,22
Team Magma Grunt,580,Magma Hideout,2F,Numel,29,Ember,Magnitude,Focus Energy,Take Down,546,73,39,25,46,31,25
Team Magma Grunt,580,Magma Hideout,2F,Mightyena,29,Bite,Odor Sleuth,Roar,Swagger,795,79,57,40,39,39,49
Team Magma Grunt,560,Magma Hideout,2F,Baltoy,28,Psybeam,Rock Tomb,Selfdestruct,AncientPower,348,60,27,35,29,44,31
,,,,Numel,28,Tackle,Ember,Magnitude,Focus Energy,528,71,38,27,41,33,21
Team Magma Grunt,560,Magma Hideout,2F,Baltoy,28,Psybeam,Rock Tomb,Selfdestruct,AncientPower,348,60,27,35,29,44,31
,,,,Zubat,28,Astonish,Bite,Wing Attack,Confuse Ray,324,60,33,24,21,27,31
Team Magma Grunt [2],580,Magma Hideout,2F (Room 2),Numel,29,Ember,Magnitude,Focus Energy,Take Down,546,73,39,28,42,31,25
Team Magma Grunt [2],580,Magma Hideout,2F (Room 2),Mightyena,29,Bite,Odor Sleuth,Roar,Swagger,794,79,62,45,39,39,40
Team Magma Grunt,580,Magma Hideout,2F (Room 2),Zubat,29,Astonish,Bite,Wing Attack,Confuse Ray,335,62,31,22,22,30,36
Team Magma Grunt,580,Magma Hideout,2F (Room 2),Poochyena,29,Odor Sleuth,Roar,Swagger,Scary Face,341,59,39,25,22,22,22
Team Magma Grunt,580,Magma Hideout,1F,Zubat,29,Astonish,Bite,Wing Attack,Confuse Ray,335,62,31,22,22,30,36
Team Magma Grunt,580,Magma Hideout,3F,Zubat,29,Astonish,Bite,Wing Attack,Confuse Ray,335,62,31,22,22,30,36
Team Magma Grunt,580,Magma Hideout,3F (Room 3),Mightyena,29,Bite,Odor Sleuth,Roar,Swagger,795,79,62,45,39,39,40
Team Magma Grunt,580,Magma Hideout,3F,Baltoy,29,Psybeam,Rock Tomb,Selfdestruct,AncientPower,360,62,30,31,28,45,36
Team Magma Grunt,580,Magma Hideout,4F,Baltoy,29,Psybeam,Rock Tomb,Selfdestruct,AncientPower,360,62,28,36,30,45,32
Team Magma Grunt [2],580,Magma Hideout,4F,Numel,29,Ember,Magnitude,Focus Energy,Take Down,546,73,39,25,46,31,25
Team Magma Grunt [2],580,Magma Hideout,4F,Zubat,29,Astonish,Bite,Wing Attack,Confuse Ray,334,62,31,22,22,30,36
Magma Admin Tabitha,1320,Magma Hideout,4F,Numel,26,Magnitude,Ember,Tackle,Focus Energy,490,69,38,30,41,27,25
,,,,Mightyena,28,Bite,Swagger,Roar,Odor Sleuth,768,79,57,46,41,41,46
,,,,Zubat,30,Wing Attack,Bite,Astonish,Confuse Ray,347,66,34,25,25,34,40
,,,,Camerupt,33,Rock Slide,Take Down,Amnesia,Focus Energy,1237,92,73,59,77,51,34
Magma Leader Maxie,3120,Magma Hideout,4F,Mightyena,37,Take Down,Swagger,Scary Face,Roar,1014,105,78,69,56,50,63
,,,,Crobat,38,Air Cutter,Wing Attack,Bite,Confuse Ray,1661,119,88,64,65,72,110
,,,,Camerupt,39,Earthquake,Rock Slide,Take Down,Amnesia,1462,110,99,66,83,70,43
Lilycove Rival,2040,Lilycove City,,Tropius,31,Stomp,Sweet Scent,Whirlwind,Magical Leaf,1122,107,52,55,60,64,42
,,,,Grovyle,34,Fury Cutter,Pursuit,Screech,Leaf Blade,1027,86,62,38,70,57,77
,,,,Slugma,32,Ember,Rock Throw,Harden,Amnesia,534,73,32,36,55,36,25
,,,,Pelipper,32,Wing Attack,Supersonic,Mist,Protect,1124,86,37,81,65,55,52
Team Aqua Grunt,640,Aqua Hideout,1F,Poochyena,32,Odor Sleuth,Roar,Swagger,Scary Face,377,64,44,27,24,24,24
Team Aqua Grunt,640,Aqua Hideout,B1F West,Carvanha,32,Scary Face,Crunch,Screech,Take Down,603,70,62,15,50,17,46
Team Aqua Grunt [2],620,Aqua Hideout,B1F West,Zubat,31,Air Cutter,Wing Attack,Bite,Confuse Ray,358,65,32,23,23,31,39
[2],,,,Carvanha,31,Crunch,Take Down,Scary Face,Screech,584,68,60,17,49,17,40
Team Aqua Grunt [2],620,Aqua Hideout,B1F West,Poochyena,31,Swagger,Roar,Scary Face,Odor Sleuth,364,62,39,23,23,23,28
[2],,,,Zubat,31,Air Cutter,Wing Attack,Bite,Confuse Ray,358,65,32,23,23,31,39
Team Aqua Grunt,640,Aqua Hideout,B2F,Carvanha,32,Scary Face,Crunch,Screech,Take Down,603,70,62,18,46,17,41
Team Aqua Grunt,640,Aqua Hideout,The Worst Sentry,Zubat,32,Bite,Wing Attack,Confuse Ray,Air Cutter,370,67,33,24,24,33,40
Team Aqua Grunt [2],640,Aqua Hideout,B2F,Zubat,32,Air Cutter,Wing Attack,Bite,Confuse Ray,370,67,29,29,24,30,40
Team Aqua Grunt [2],640,Aqua Hideout,B2F,Carvanha,32,Crunch,Take Down,Scary Face,Screech,602,70,62,18,46,17,41
Aqua Admin Matt,1360,Aqua Hideout,B2F,Mightyena,34,Swagger,Roar,Scary Face,Odor Sleuth,932,93,61,59,47,47,54
,,,,Golbat,34,Wing Attack,Bite,Astonish,Confuse Ray,1245,97,61,54,51,58,68
Swimmer Grace [2],272,Route 124,,Marill,34,Water Gun,Rollout,Bubblebeam,Double-Edge,422,91,16,39,19,39,32
Swimmer Declan [2],272,Route 124,,Gyarados,34,Thrash,Bite,Dragon Rage,Leer,1558,108,90,63,45,65,60
Swimmer Spencer,264,Route 124,,Tentacool,33,Constrict,Acid,Bubblebeam,Wrap,742,69,34,28,38,71,45
,,,,Wingull,33,Supersonic,Wing Attack,Mist,Quick Attack,452,69,24,24,45,21,61
Sis and Bro Lila & Roy [2],792,Route 124,,Chinchou,34,Flail,Water Gun,Spark,Confuse Ray,654,95,33,27,43,43,50
[2],,,,Carvanha,33,Scary Face,Crunch,Screech,Take Down,622,72,64,16,47,19,47
Swimmer Jenny,272,Route 124,,Wailmer,34,Whirlpool,Astonish,Water Pulse,Mist,998,132,52,28,52,28,45
Swimmer Chad,264,Route 124,,Tentacool,33,Constrict,Acid,Bubblebeam,Wrap,742,69,27,28,38,78,51
,,,,Wailmer,33,Whirlpool,Astonish,Water Pulse,Mist,968,128,56,28,45,28,44
Triathlete Isabella [2],1360,Route 124,,Staryu,34,Camouflage,Swift,Bubblebeam,Minimize,772,64,35,46,52,37,62
Swimmer Roland [2],272,Route 124,,Carvanha,34,Scary Face,Crunch,Screech,Take Down,640,74,72,18,49,18,44
Sailor Ernest ,1056,Route 125,,Wingull,33,Supersonic,Wing Attack,Mist,Quick Attack,452,69,24,24,41,24,61
,,,,Machoke,33,Seismic Toss,Foresight,Revenge,Vital Throw,1032,95,71,51,34,48,34
Swimmer Nolen,272,Route 125,,Tentacruel,34,Constrict,Acid,Bubblebeam,Wrap,1493,98,52,49,59,86,73
Sr. and Jr. Kim & Iris [2],1120,Route 125,,Swablu,32,Sing,Fury Attack,Safeguard,Aerial Ace,506,70,33,43,30,53,33
[2],,,,Numel,35,Flamethrower,Take Down,Rest,Earthquake,660,87,47,36,50,36,26
Swimmer Tanya,272,Route 125,,Luvdisc,34,Water Gun,Agility,Take Down,Attract,801,73,25,42,32,49,70
Swimmer Stan,272,Route 125,,Horsea,34,Smokescreen,Leer,Water Gun,Twister,604,64,32,46,57,22,45
Bird Keeper Presley [2],1056,Route 125,,Tropius,33,Stomp,Sweet Scent,Whirlwind,Magical Leaf,1194,108,49,59,52,62,38
[2],,,,Xatu,33,Peck,Leer,Night Shade,Teleport,1208,85,48,51,73,51,67
Expert Auron [2],1320,Route 125,,Manectric,33,Quick Attack,Spark,Odor Sleuth,Roar,1188,89,48,44,81,44,74
[2],,,,Machamp,33,Seismic Toss,Foresight,Revenge,Vital Throw,1364,102,99,51,47,61,41
Swimmer Sharon,272,Route 125,,Seaking,34,Supersonic,Horn Attack,Flail,Fury Attack,1238,98,67,49,49,59,51
Psychic Preston [2],864,Mossdeep Gym,Southwest Room,Kirlia,36,Teleport,Calm Mind,Psychic,Imprison,1080,77,34,30,56,52,45
Psychic Maura [2],864,Mossdeep Gym,Southwest Room,Kadabra,36,Recover,Future Sight,Role Play,Psychic,1118,79,34,30,95,53,92
Psychic Samantha [2],864,Mossdeep Gym,West-Cental Room,Xatu,36,Night Shade,Teleport,Wish,Future Sight,1318,97,56,59,77,64,77
Psychic Blake [2],864,Mossdeep Gym,West-Cental Room,Girafarig,36,Confusion,Stomp,Odor Sleuth,Agility,1148,100,72,56,74,56,63
Hex Maniac Kathleen [2],864,Mossdeep Gym,Southeast Room,Kadabra,36,Recover,Future Sight,Role Play,Psychic,1118,79,34,30,104,53,84
Psychic Nicholas [2],864,Mossdeep Gym,Southeast Room,Wobbuffet,36,Counter,Mirror Coat,Safeguard,Destiny Bond,1364,182,28,46,30,41,28
Psychic Macey [2],864,Mossdeep Gym,Southeast Room,Natu,36,Night Shade,Teleport,Wish,Future Sight,562,74,41,40,55,37,49
Gentleman Clifford [2],2880,Mossdeep Gym,Southeast Room,Girafarig,36,Confusion,Stomp,Odor Sleuth,Agility,1148,96,68,51,69,51,59
Gentleman Nate [2],2880,Mossdeep Gym,Northwest Room,Spoink,36,Psych Up,Confuse Ray,Magic Coat,Psychic,686,93,24,34,64,66,52
Psychic Virgil [2],864,Mossdeep Gym,Northwest Room,Ralts,36,Calm Mind,Psychic,Imprison,Future Sight,540,70,27,27,45,30,38
Hex Maniac Sylvia [2],864,Mossdeep Gym,Northwest Room,Meditite,36,Hidden Power,Mind Reader,Calm Mind,Hi Jump Kick,702,71,38,52,38,48,46
Psychic Hannah [2],864,Mossdeep Gym,Northwest Room,Kirlia,36,Teleport,Calm Mind,Psychic,Imprison,1080,77,34,34,50,52,45
Leader Tate&Liza [2],8400,Mossdeep Gym,,Claydol,41,Earthquake,Ancientpower,Psychic,Light Screen,1660,112,74,113,74,103,78
[2],,,,Xatu,41,Psychic,Sunny Day,Confuse Ray,Calm Mind,1502,116,78,74,95,74,95
[2],,,,Lunatone,42,Psychic,Hypnosis,Calm Mind,Light Screen,1350,123,63,79,87,89,76
[2],,,Mind Badge,Solrock,42,Solarbeam,Psychic,Flamethrower,Sunny Day,1350,123,87,89,69,72,76
Team Magma Grunt,620,Space Center,1F,Zubat,31,Bite,Wing Attack,Confuse Ray,Air Cutter,358,65,28,28,23,29,39
,,,,Poochyena,31,Odor Sleuth,Roar,Swagger,Scary Face,365,62,39,23,23,25,26
Team Magma Grunt,640,Space Center,1F,Numel,32,Magnitude,Focus Energy,Take Down,Amnesia,603,80,43,27,50,33,27
Team Magma Grunt,640,Space Center,1F,Baltoy,32,Selfdestruct,Ancientpower,Rock Tomb,Sandstorm,397,67,30,40,33,49,36
Team Magma Grunt ,600,Space Center,1F,Mightyena,26,Bite,Sand-Attack,Roar,Odor Sleuth,713,72,56,41,36,36,36
,,,,Mightyena,28,Bite,Swagger,Roar,Odor Sleuth,768,77,55,44,38,38,44
,,,,Numel,30,Magnitude,Take Down,Ember,Focus Energy,565,76,41,29,39,35,26
Team Magma Grunt,640,Space Center,2F,Zubat,32,Air Cutter,Wing Attack,Bite,Confuse Ray,370,67,33,24,24,33,40
Team Magma Grunt,640,Space Center,2F,Mightyena,32,Swagger,Scary Face,Roar,Odor Sleuth,877,86,68,49,43,43,44
Team Magma Grunt,640,Space Center,2F,Baltoy,32,Selfdestruct,Ancientpower,Rock Tomb,Sandstorm,397,67,30,40,33,49,36
Magma Admin Tabitha [2],5120,Space Center,2F,Camerupt,36,Rock Slide,Take Down,Amnesia,Focus Energy,675,100,81,59,84,63,38
[2],,,(Tabitha's),Mightyena,38,Take Down,Swagger,Scary Face,Taunt,520,105,77,68,49,55,62
[2],,,,Golbat,40,Air Cutter,Wing Attack,Bite,Confuse Ray,732,114,73,65,61,69,81
Magma Leader Maxie [2],0,Space Center,2F,Mightyena,42,Take Down,Swagger,Roar,Scary Face,576,105,77,68,49,55,62
[2],,,(Maxie's),Camerupt,44,Earthquake,Take Down,Rock Slide,Amnesia,825,123,110,74,94,78,48
[2],,,,Crobat,43,Air Cutter,Wing Attack,Confuse Ray,Mean Look,939,133,99,72,72,81,124
Bird Keeper Aidan [2],1024,Route 127,Left Side Island,Swellow,32,Quick Attack,Wing Attack,Double Team,Endeavour,1110,80,59,43,37,37,85
[2],,,,Skarmory,32,Agility,Fury Attack,Air Cutter,Steel Wing,1152,83,56,103,27,49,49
Cooltrainer Athena [2],1536,Route 127,Left Side Island,Manectric,32,Thunder,Thunder Wave,Quick Attack,,1152,90,50,47,76,51,76
[2],,,,Linoone,32,Surf,Thief,,,876,95,58,42,40,47,72
Swimmer Leonardo [2],272,Route 126,North,Carvanha,34,Scary Face,Crunch,Screech,Take Down,640,74,72,18,49,16,49
Triathlete Isobel [2],1360,Route 126,North,Staryu,34,Camouflage,Swift,Bubblebeam,Minimize,772,64,35,46,46,42,62
Swimmer Dean,248,Route 126,Center North,Carvanha,31,Scary Face,Crunch,Screech,Take Down,584,68,54,18,45,17,45
,,,,Wingull,31,Supersonic,Wing Attack,Mist,Quick Attack,425,65,23,23,35,23,62
,,,,Carvanha,31,Scary Face,Crunch,Screech,Take Down,584,68,60,18,45,17,40
Swimmer Nikki,264,Route 126,Center Right,Marill,33,Water Gun,Rollout,Bubblebeam,Double-Edge,410,89,16,38,18,38,34
,,,,Spheal,33,Ice Ball,Body Slam,Aurora Beam,Hail,530,89,34,34,41,38,21
Swimmer Barry,272,Route 126,Center South,Gyarados,34,Thrash,Bite,Dragon Rage,Leer,1559,108,90,58,45,73,60
Swimmer Sienna [2],264,Route 126,Left South,Luvdisc,33,Water Gun,Agility,Take Down,Attract,776,71,21,41,34,47,69
[2],,,,Luvdisc,33,Water Gun,Agility,Take Down,Attract,776,71,21,41,31,47,75
Triathlete Pablo [2],1320,Route 126,Left South,Staryu,33,Camouflage,Swift,Bubblebeam,Minimize,748,62,34,41,51,41,61
[2],,,,Staryu,33,Camouflage,Swift,Bubblebeam,Minimize,748,62,34,41,45,41,67
Swimmer Brenda,272,Route 126,Dive to Left Corner,Goldeen,34,Supersonic,Horn Attack,Flail,Fury Attack,808,74,50,45,28,35,51
Triathlete Donny,1320,Route 127,Left Side Surf,Wingull,26,Water Gun,Supersonic,Wing Attack,Mist,356,56,20,22,33,20,44
,,,,Staryu,34,Camouflage,Swift,Bubblebeam,Minimize,772,70,42,48,59,43,75
Cooltrainer Alexa ,1632,Route 128,,Gloom,34,Poisonpowder,Stun Spore,Sleep Powder,Acid,961,88,47,56,66,60,39
,,,,Azumarill,34,Water Gun,Rollout,Bubblebeam,Double-Edge,1114,116,38,63,43,69,43
Trialthete Isaiah,1400,Route 128,South of SC,Staryu,35,Camouflage,Swift,Bubblebeam,Minimize,795,66,36,47,54,38,64
Team Aqua Grunt,720,Seafloor Cavern,Entrance Center,Poochyena,36,Roar,Swagger,Scary Face,Take Down,424,71,48,30,26,26,27
Team Aqua Grunt,720,Seafloor Cavern,Entrance Right,Carvanha,36,Scary Face,Crunch,Screech,Take Down,678,78,69,20,51,19,45
Team Aqua Grunt [2],720,Seafloor Cavern,See Maps,Zubat,36,Wing Attack,Confuse Ray,Air Cutter,Mean Look,416,74,37,27,26,36,44
Team Aqua Grunt [2],720,Seafloor Cavern,,Carvanha,36,Scary Face,Crunch,Screech,Take Down,678,78,69,17,56,19,51
Team Aqua Grunt [2],700,Seafloor Cavern,Room 7,Mightyena,35,Odor Sleuth,Roar,Swagger,Scary Face,960,96,77,56,49,49,50
[2],,,,Golbat,35,Bite,Wing Attack,Confuse Ray,Air Cutter,1282,99,63,56,52,59,70
Aqua Admin Shelly [2],1480,Seafloor Cavern,Room 7,Sharpedo,37,Scary Face,Crunch,Screech,Slash,1386,103,98,35,79,42,79
[2],,,,Mightyena,37,Roar,Swagger,Scary Face,Take Down,1014,103,76,67,53,47,61
Aqua Leader Archie ,3440,Seafloor Cavern,Deepest Room,Mightyena,41,Take Down,Swagger,Roar,Scary Face,1124,115,94,69,61,61,62
,,,,Crobat,41,Air Cutter,Wing Attack,Bite,Confuse Ray,1792,128,86,77,69,77,118
,,,,Sharpedo,43,Slash,Swagger,Taunt,Screech,1612,120,115,42,103,47,94
Swimmer Reed ,264,Route 129,Center,Spheal,33,Ice Ball,Body Slam,Aurora Beam,Hail,530,89,34,38,41,34,21
,,,,Sharpedo,33,Scary Face,Crunch,Screech,Slash,1237,89,92,31,67,27,67
Triathlete Chase ,1360,Route 129,,Wingull,26,Water Gun,Supersonic,Wing Attack,Mist,356,56,20,22,33,20,44
,,,,Staryu,34,Camouflage,Swift,Bubblebeam,Minimize,772,67,38,45,49,49,65
Triathlete Allison ,1320,Route 129,,Wingull,27,Water Gun,Supersonic,Wing Attack,Mist,370,58,21,21,34,21,50
,,,,Staryu,33,Camouflage,Swift,Bubblebeam,Minimize,749,72,44,50,54,55,70
Swimmer Clarence [2],272,Route 129,,Sharpedo,34,Scary Face,Crunch,Screech,Slash,1274,91,86,32,69,32,69
Swimmer Tisha [2],272,Route 129,,Chinchou,34,Flail,Water Gun,Spark,Confuse Ray,654,95,30,30,43,43,50
Swimmer Rodney,272,Route 130,,Gyarados,34,Thrash,Bite,Dragon Rage,Leer,1559,108,90,52,45,73,66
Swimmer Katie [2],264,Route 130,,Goldeen,33,Supersonic,Horn Attack,Flail,Fury Attack,784,72,44,44,28,38,50
[2],,,,Spheal,33,Ice Ball,Body Slam,Aurora Beam,Hail,530,89,34,38,36,38,21
Swimmer Santiago [2],264,Route 130,,Tentacruel,33,Constrict,Acid,Bubblebeam,Wrap,1448,95,56,47,57,75,71
[2],,,,Wailmer,33,Whirlpool,Astonish,Water Pulse,Mist,968,128,51,25,51,30,44
Swimmer Kevin [2],272,Route 131,,Spheal,34,Ice Ball,Body Slam,Aurora Beam,Hail,546,91,32,39,46,35,22
Triathlete Taila [2],1360,Route 131,,Staryu,34,Camouflage,Swift,Bubblebeam,Minimize,772,64,38,42,46,42,62
Swimmer Richard,272,Route 131,,Pelipper,34,Mist,Protect,Stockpile,Swallow,1194,84,39,73,62,52,49
Swimmer Kara,272,Route 131,,Seaking,34,Supersonic,Horn Attack,Flail,Fury Attack,1238,98,73,49,44,59,51
Swimmer Susie,272,Route 131,,Luvdisc,34,Water Gun,Agility,Take Down,Attract,801,73,22,42,35,49,70
Fisherman Ronald,1400,Route 132,Bottom-Mid Route,Magikarp,19,Splash,Tackle,,,81,36,8,25,10,12,35
,,,,Gyarados,21,Thrash,Bite,,,963,70,57,38,27,51,39
,,,,Gyarados,23,Thrash,Bite,,,1054,76,62,36,32,56,42
,,,,Gyarados,26,Thrash,Bite,Dragon Rage,,1192,85,70,46,39,51,47
